longitude,latitude,physical_location,postal_address,hours_of_operation,hiv_capable,details
7.46786,4.94262,,,,,View
7.38283,4.90115,,,,,View
7.43071807,4.98806274,,,,,View
7.48539,4.93614,,,,,View
7.44128418,4.884277344,,,,,View
7.4607,4.8735,,,,,View
7.38335,4.90628,,,,,View
7.40670,4.91363,,,,,View
7.41266,4.89982,,,,,View
7.33941,4.95115,,,,,View
7.35837,4.98068,,,,,View
7.37351,4.96026,,,,,View
7.34309,4.94085,,,,,View
7.46650,4.97999,,,,,View
7.43071807,4.98806274,,,,,View
7.45586,4.98805,,,,,View
7.29805,5.07775,,,,,View
7.2898,5.0667,,,,,View
7.2402,4.9888,,,,,View
7.295288086,5.034484864,,,,,View
7.274902343,5.039672852,,,,,View
7.26295,4.93960,,,,,View
7.26052,4.9051,,,,,View
7.26180,4.94303,,,,,View
7.26435,4.94971,,,,,View
7.261901855,4.942871094,,,,,View
7.235900879,4.966674805,,,,,View
7.1709,4.8902,,,,,View
7.1851,4.9222,,,,,View
7.18443,4.90401,,,,,View
7.2056,4.9585,,,,,View
7.20701,4.96976,,,,,View
7.20701,4.96976,,,,,View
7.22945,4.96112,,,,,View
7.20193,4.97472,,,,,View
7.255920411,5.057922363,,,,,View
7.2561,5.0578,,,,,View
7.2457,4.9225,,,,,View
7.211730957,4.942077637,,,,,View
7.18453,4.90405,,,,,View
7.2113,4.9184,,,,,View
7.2196,4.9204,,,,,View
7.26539,5.00599,,,,,View
7.3071,4.9331,,,,,View
7.2873,4.9532,,,,,View
7.2295,4.9611,,,,,View
7.296081543,4.925292969,,,,,View
7.32558,4.90794,,,,,View
7.3039,4.9139,,,,,View
7.31603,4.92447,,,,,View
7.31155,4.91227,,,,,View
7.2740,4.9305,,,,,View
7.2804,4.9326,,,,,View
7.2941,4.9053,,,,,View
7.273681641,4.96710205,,,,,View
7.28729248,4.905700684,,,,,View
7.27799,4.92508,,,,,View
7.2637,4.9101,,,,,View
7.3072,4.9235,,,,,View
7.4810,5.5034,,,,,View
7.4898,5.5011,,,,,View
7.55084,5.5572,,,,,View
7.47471,5.58624,,,,,View
7.48649,5.59857,,,,,View
7.46246,5.59323,,,,,View
7.462524414,5.593078613,,,,,View
7.52995,5.51196,,,,,View
7.514526367,5.566894532,,,,,View
7.5189,5.5605,,,,,View
7.5207,5.5437,,,,,View
7.50466,5.56241,,,,,View
7.509887696,5.537475586,,,,,View
7.55084,5.5572,,,,,View
7.528320313,5.525695801,,,,,View
7.48256,5.55836,,,,,View
7.47252,5.53414,,,,,View
7.4971,5.5685,,,,,View
7.5485,5.5393,,,,,View
7.53520,5.52330,,,,,View
7.5325,5.5281,,,,,View
7.47736,5.54312,,,,,View
7.4692,5.5420,,,,,View
7.464294434,5.546875,,,,,View
7.47589,5.55098,,,,,View
7.5056,5.516,,,,,View
7.51397,5.5154,,,,,View
7.5212,5.5005,,,,,View
7.5248,5.5240,,,,,View
7.51326,5.51032,,,,,View
7.4899,5.5815,,,,,View
7.31392,5.57611084,,,,,View
7.45739,5.56772,,,,,View
7.460327148,5.606079102,,,,,View
7.44493,5.57937,,,,,View
7.44775,5.60064,,,,,View
7.43523,5.6328,,,,,View
7.49292194,5.52087004,,,,,View
7.49806247,5.53375037,,,,,View
7.50545,5.51548,,,,,View
7.49397,5.54154,,,,,View
7.496216297,5.526267886,,,,,View
7.49611844,5.52440829,,,,,View
7.49876,5.53773,,,,,View
7.49987793,5.539916993,,,,,View
7.508300782,5.539123535,,,,,View
7.495300293,5.524475098,,,,,View
7.496276856,5.526916504,,,,,View
7.49646,5.52742,,,,,View
7.492126465,5.536682128,,,,,View
7.50165394,5.5145857,,,,,View
7.49404566,5.54524051,,,,,View
7.5026,5.4965,,,,,View
7.49409754,5.5221554,,,,,View
7.486328125,5.516723633,,,,,View
7.507080078,5.542907715,,,,,View
7.45956,5.47707,,,,,View
7.49686669,5.53959586,,,,,View
7.49034,5.53743,,,,,View
7.49397,5.53929,,,,,View
7.4941,5.5255,,,,,View
7.49567,5.53208,,,,,View
7.4986,5.5401,,,,,View
7.4912,5.5125,,,,,View
7.49512,5.53276,,,,,View
7.49717,5.53011,,,,,View
7.49393,5.52892,,,,,View
7.5015,5.5263,,,,,View
7.496276856,5.535095214,,,,,View
7.5026,5.5197,,,,,View
7.501281738,5.534118652,,,,,View
7.4978,5.50208,,,,,View
7.498718261,5.514282227,,,,,View
7.49940,05.50174,,,,,View
7.4956649,5.51388,,,,,View
7.49652,5.50693,,,,,View
7.49945,05.49961,,,,,View
7.49840,05.50246,,,,,View
